dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpintfref-cpitch cpitch.order.stm.cpint-cpintfref-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpintfref-cpitch cpitch.weight.stm.cpint-cpintfref-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 0 0 0.87793374 0.12206629 1.0 1.0 0.010706356 6.5453887 4.4567976 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.18069258 0.18069258 0.07368912 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.07368912 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.07368912 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 0.010706356 6.5453887 4.4567976 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 0 0 0.991307 0.008692968 1.0 1.0 0.0018684877 9.063913 2.8022065 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.10997658 0.009212641 0.4364026 0.102825604 0.0018684877 0.18129595 0.009212641 0.04542323 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.02375473 0.0018684877 0.0018684877 0.016498238 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 0.0018684877 9.063913 2.8022065 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 0 0 0.9573505 0.042649545 0.99999994 1.0 0.0075596003 7.047474 3.695292 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.044889778 0.0075596003 0.0075596003 0.044889778 0.0075596003 0.45095646 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.044889778 0.0075596003 0.044889778 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.044889778 0.0075596003 0.0075596003 0.044889778 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 0.0075596003 7.047474 3.695292 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 0 0 0.9879233 0.012076721 1.0 1.0 0.004559618 7.776871 2.9613638 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.09446599 0.004559618 0.004559618 0.004559618 0.13884686 0.4898361 0.004559618 0.09446599 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 0.004559618 7.776871 2.9613638 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
