dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpitch cpitch.order.stm.cpint-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 2 8 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 88 96 4 600000 0 -1 23 168 0 0 0.97608757 0.02391248 1.0 1.0 0.0025122482 8.636805 3.2739663 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.00386687 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.015745077 0.0025122482 0.011824749 0.00386687 0.029947285 0.010511303 0.00386687 0.046517897 0.0065440303 0.12653789 0.061682623 0.3340442 0.15616107 0.042709038 0.09424987 0.007871668 0.009193815 0.0025122482 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0011384176 0.0025122482 0.0011384176 0.0011384176 0.0025122482 8.636805 3.2739663 
701 2 9 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 82 96 4 600000 0 -1 23 192 1 0 0.9435458 0.056454144 1.0 1.0 0.012610675 6.3092103 3.9372811 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.45774126 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 0.012610675 6.3092103 3.9372811 
701 2 10 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 81 96 4 600000 0 -1 23 216 0 0 0.9583133 0.04168673 1.0 1.0 0.0081225205 6.9438567 3.6717997 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.08260842 0.0081225205 0.08260842 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.4272741 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.08260842 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 0.0081225205 6.9438567 3.6717997 
701 2 11 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 90 96 4 600000 0 -1 23 240 0 0 0.8556164 0.1443836 1.0 1.0 0.0101634 6.620473 4.58521 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.044550862 0.0101634 0.0101634 0.044550862 0.044550862 0.0101634 0.0101634 0.12906657 0.044550862 0.10237937 0.17991754 0.044550862 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 0.0101634 6.620473 4.58521 
701 2 12 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 90 96 4 600000 0 -1 23 264 0 0 0.9435458 0.056454144 1.0 1.0 0.012610672 6.3092113 3.9372811 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.45774117 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 0.012610672 6.3092113 3.9372811 
701 2 13 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 89 96 4 600000 0 -1 23 288 0 0 0.6383813 0.36161867 1.0 1.0 0.013893212 6.169476 4.459772 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.10139364 0.013893212 0.013893212 0.013893212 0.013893212 0.013893212 0.31509167 0.013893212 6.169476 4.459772 
701 3 1 "Schoenberg_RI" NA 0 0 1 0 NA 0 0 0 NA NA 65 96 4 600000 0 -1 23 0 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 3 2 "Schoenberg_RI" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 -1 23 24 0 0 0.9715453 0.028454792 0.99999994 1.0 0.0018048424 9.113912 3.3408675 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 0.0014499751 3.6499606e-4 0.0056202053 0.010363858 0.0014499751 0.041831426 0.0010925179 0.0734875 0.073804855 0.13695566 0.22630535 0.0018048424 0.19553179 0.007324275 0.07697628 0.06840417 7.315334e-4 0.03309084 0.0014499751 0.021654196 0.007663603 7.315334e-4 0.0042460505 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 3.6499606e-4 0.0018048424 9.113912 3.3408675 
701 3 3 "Schoenberg_RI" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 -1 23 48 1 0 0.9826324 0.017367674 1.0 1.0 0.049015447 4.35062 3.0949295 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 0.0017844238 3.068044e-4 0.0028753404 3.068044e-4 0.26112932 0.033809755 0.00896028 0.1220619 0.13414304 0.19922005 0.10100915 0.0358894 0.049015447 0.001418412 0.020578586 0.002149104 0.0028753404 0.00896028 0.0010507038 0.0032371853 0.0010507038 0.001418412 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 3.068044e-4 0.049015447 4.35062 3.0949295 
701 3 4 "Schoenberg_RI" NA 0 0 1 0 NA 0 24 1 NA NA 70 96 4 600000 0 -1 23 72 1 0 0.9791898 0.020810211 1.0 1.0 0.06321191 3.98366 3.1804132 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 2.2705154e-4 1.226887e-4 1.226887e-4 0.0028263489 0.0040424746 0.024106726 2.2705154e-4 0.015116092 0.025695123 0.03959956 0.25173643 0.033056013 0.22556742 0.06321191 0.117321745 0.042990103 0.029208928 0.11348188 2.2705154e-4 0.004001807 0.0019379706 0.0014408325 6.367714e-4 2.2705154e-4 4.329853e-4 2.2705154e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 1.226887e-4 0.06321191 3.98366 3.1804132 
