dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpintfref-cpitch cpitch.order.stm.cpint-cpintfref-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpintfref-cpitch cpitch.weight.stm.cpint-cpintfref-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 2 7 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 144 1 0 0.9936739 0.0063260645 1.0 1.0 0.045748543 4.4501305 2.5800283 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 0.0020167166 6.601097e-4 0.045748543 6.601097e-4 0.0020167166 0.060321722 0.0020167166 0.4334426 0.003366996 0.17739423 0.011418965 0.12527923 0.09970035 6.601097e-4 0.018097535 6.601097e-4 6.601097e-4 0.0020167166 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 6.601097e-4 0.045748543 4.4501305 2.5800283 
700 2 8 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 168 2 0 0.9960799 0.0039200434 1.0 1.0 0.0015807896 9.30514 2.402858 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 0.0027042055 4.5387755e-4 0.011093054 1.7085965e-4 0.0018618739 1.7085965e-4 0.021124033 0.10595155 0.0015807896 0.1856436 0.0027042055 0.10636639 0.01081401 1.7085965e-4 0.09350325 4.5387755e-4 0.0032651583 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 0.44837967 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 1.7085965e-4 0.0015807896 9.30514 2.402858 
700 2 9 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 67 96 4 600000 0 0 23 192 1 0 0.9999644 3.561027e-5 0.99999994 1.0 0.0021143523 8.885569 1.2236476 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.016913567 0.0021143523 0.0021143523 0.016913567 0.0021143523 0.8603573 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.016913567 0.0021143523 0.0021143523 0.016913567 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 0.0021143523 8.885569 1.2236476 
700 2 10 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 0 23 216 0 0 0.96964365 0.03035629 1.0 1.0 0.008745215 6.837291 3.2923946 0.001439421 0.001439421 0.001439421 0.001439421 0.001439421 0.001439421 0.001439421 0.001439421 0.001439421 0.0063469717 0.001439421 0.0026886445 0.001439421 0.007549088 0.035464797 0.0026886445 0.03088606 0.007549088 0.118105665 0.13895194 0.012305363 0.2837853 0.008745215 0.18253523 0.011122773 0.019336145 0.08049363 0.0026886445 0.011122773 0.001439421 0.0063469717 0.001439421 0.001439421 0.0026886445 0.001439421 0.001439421 0.0026886445 0.001439421 0.001439421 0.008745215 6.837291 3.2923946 
700 2 11 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 0 23 240 1 0 0.98870754 0.011292444 1.0 1.0 0.00294458 8.407722 2.8266628 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.014457736 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.014457736 0.00294458 0.00294458 0.037186697 0.00294458 0.4036307 0.24911508 0.04848166 0.12693082 0.00294458 0.00294458 0.014457736 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 0.00294458 8.407722 2.8266628 
700 2 12 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 0 23 264 0 0 0.9949036 0.0050963643 1.0 1.0 0.11324575 3.142471 2.5016372 0.0010497204 0.0010497204 0.002612074 0.0010497204 0.002612074 0.0010497204 0.005723517 0.002612074 0.002612074 0.07037341 0.0010497204 0.19570927 0.002612074 0.11324575 0.4680161 0.007275528 0.079569474 0.0010497204 0.010374735 0.0041693184 0.0010497204 0.0041693184 0.0041693184 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.0010497204 0.11324575 3.142471 2.5016372 
700 2 13 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 60 96 4 600000 0 0 23 288 1 0 0.9815041 0.018495925 1.0 1.0 0.439229 1.1869547 2.506377 7.5846486e-4 7.5846486e-4 0.0018642974 7.5846486e-4 0.0018642974 7.5846486e-4 0.0040420764 0.0018642974 0.0018642974 0.07009307 7.5846486e-4 0.17077562 0.0018642974 0.15603146 0.439229 0.009707365 0.09812316 7.5846486e-4 0.016361425 0.0029570577 7.5846486e-4 0.0029570577 0.0029570577 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 7.5846486e-4 0.439229 1.1869547 2.506377 
700 3 1 "Schoenberg_R" NA 0 0 1 0 NA 0 0 0 NA NA 60 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.025641028 5.2854023 5.285403 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 5.2854023 5.285403 
700 3 2 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 0 23 24 0 0 0.97958905 0.020410912 1.0 1.0 0.22091573 2.1784317 3.0766127 7.4060215e-4 7.4060215e-4 0.0077211508 7.4060215e-4 0.002321785 7.4060215e-4 0.014543847 0.002321785 0.0015356517 0.09100868 0.0015356517 0.047220968 0.0031022984 0.22091573 0.23016888 0.0038786968 0.18739179 7.4060215e-4 0.106939234 0.03097706 7.4060215e-4 0.02353839 7.4060215e-4 0.0038786968 7.4060215e-4 7.4060215e-4 0.0046518478 7.4060215e-4 7.4060215e-4 7.4060215e-4 0.0015356517 7.4060215e-4 7.4060215e-4 7.4060215e-4 7.4060215e-4 7.4060215e-4 7.4060215e-4 7.4060215e-4 7.4060215e-4 0.22091573 2.1784317 3.0766127 
700 3 3 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 0 23 48 1 0 0.99647814 0.0035218897 1.0 1.0 0.0014546182 9.425144 2.3678827 5.83728e-4 5.83728e-4 0.002924388 5.83728e-4 0.002924388 5.83728e-4 0.0075867325 0.002924388 0.0014546182 0.06119731 5.83728e-4 0.2472104 0.002924388 0.10492411 0.45705637 0.0040581883 0.07070192 5.83728e-4 0.008717125 0.0052574524 5.83728e-4 0.0052574524 0.0014546182 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 5.83728e-4 0.0014546182 9.425144 2.3678827 
700 3 4 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 67 96 4 600000 0 0 23 72 1 0 0.9928884 0.007111636 1.0 1.0 0.17937478 2.478951 2.6388083 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.013635533 0.0031007142 0.0031007142 0.0031007142 0.013635533 0.0031007142 0.0031007142 0.013635533 0.0031007142 0.0031007142 0.03453991 0.0031007142 0.17937478 0.53822213 0.04495242 0.055347513 0.0031007142 0.0031007142 0.013635533 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.0031007142 0.17937478 2.478951 2.6388083 
