dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref cpitch.order.stm.cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref cpitch.weight.stm.cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 2 7 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 144 2 0 0.8438703 0.15612975 1.0 1.0 0.020562073 5.6038704 4.3672957 0.0061634057 0.03612317 0.021337945 0.0018052493 0.020562073 0.0020115778 0.0061634057 0.024931807 0.0072107622 0.12762693 0.003240167 0.059151467 0.007018801 0.03612317 0.021337945 0.0018052493 0.020562073 0.0020115778 0.0061634057 0.024931807 0.0072107622 0.12762693 0.003240167 0.059151467 0.007018801 0.03612317 0.021337945 0.0018052493 0.020562073 0.0020115778 0.0061634057 0.024931807 0.0072107622 0.12762693 0.003240167 0.059151467 0.007018801 0.03612317 0.0061634057 0.020562073 5.6038704 4.3672957 
700 2 8 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 168 3 0 0.76155347 0.2384466 1.0 1.0 0.003816841 8.033405 4.672402 0.039164875 0.020415006 0.08207707 0.003816841 0.061767727 0.010625174 0.039164875 0.03360258 0.0068465183 0.029517008 0.00100365 0.009941462 0.0016405229 0.020415006 0.08207707 0.003816841 0.061767727 0.010625174 0.039164875 0.03360258 0.0068465183 0.029517008 0.00100365 0.009941462 0.0016405229 0.020415006 0.08207707 0.003816841 0.061767727 0.010625174 0.039164875 0.03360258 0.0068465183 0.029517008 0.00100365 0.009941462 0.0016405229 0.020415006 0.039164875 0.003816841 8.033405 4.672402 
700 2 9 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 67 96 4 600000 0 0 23 192 3 0 0.94307846 0.056921564 1.0 1.0 0.0019478019 9.003937 3.5815382 0.0929987 4.8956514e-4 0.010809815 0.006267901 0.14248846 0.0017922417 0.0929987 0.0010164563 5.2854855e-4 0.0019478019 5.400073e-4 0.01131721 9.7429537e-4 4.8956514e-4 0.010809815 0.006267901 0.14248846 0.0017922417 0.0929987 0.0010164563 5.2854855e-4 0.0019478019 5.400073e-4 0.01131721 9.7429537e-4 4.8956514e-4 0.010809815 0.006267901 0.14248846 0.0017922417 0.0929987 0.0010164563 5.2854855e-4 0.0019478019 5.400073e-4 0.01131721 9.7429537e-4 4.8956514e-4 0.0929987 0.0019478019 9.003937 3.5815382 
700 2 10 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 0 23 216 1 0 0.74571085 0.2542891 0.99999994 1.0 0.009709094 6.6864476 4.7387447 0.027329767 0.008947608 0.04488797 0.0015442165 0.018398222 0.005728083 0.027329767 0.05475972 0.011363226 0.081098504 0.009709094 0.042883758 0.0054807556 0.008947608 0.04488797 0.0015442165 0.018398222 0.005728083 0.027329767 0.05475972 0.011363226 0.081098504 0.009709094 0.042883758 0.0054807556 0.008947608 0.04488797 0.0015442165 0.018398222 0.005728083 0.027329767 0.05475972 0.011363226 0.081098504 0.009709094 0.042883758 0.0054807556 0.008947608 0.027329767 0.009709094 6.6864476 4.7387447 
700 2 11 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 0 23 240 2 0 0.7871992 0.21280079 1.0 1.0 0.006063012 7.3657494 4.6391735 0.005105828 0.006063012 0.022817792 0.007820086 0.009961696 0.010722785 0.005105828 0.03196172 0.007406696 0.09626989 0.044120826 0.020429045 0.065229006 0.006063012 0.022817792 0.007820086 0.009961696 0.010722785 0.005105828 0.03196172 0.007406696 0.09626989 0.044120826 0.020429045 0.065229006 0.006063012 0.022817792 0.007820086 0.009961696 0.010722785 0.005105828 0.03196172 0.007406696 0.09626989 0.044120826 0.020429045 0.065229006 0.006063012 0.005105828 0.006063012 7.3657494 4.6391735 
700 2 12 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 0 23 264 3 0 0.9493871 0.050612886 1.0 1.0 0.015474578 6.013956 3.5582392 0.0024678838 0.015474578 0.08509842 0.0013805513 0.018115968 9.62907e-4 0.0024678838 0.0018594202 0.001172726 0.016488265 0.0013114748 0.18102497 0.001172726 0.015474578 0.08509842 0.0013805513 0.018115968 9.62907e-4 0.0024678838 0.0018594202 0.001172726 0.016488265 0.0013114748 0.18102497 0.001172726 0.015474578 0.08509842 0.0013805513 0.018115968 9.62907e-4 0.0024678838 0.0018594202 0.001172726 0.016488265 0.0013114748 0.18102497 0.001172726 0.015474578 0.0024678838 0.015474578 6.013956 3.5582392 
700 2 13 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 60 96 4 600000 0 0 23 288 2 1 0.86918 0.13081995 1.0 1.0 0.12017054 3.0568447 4.179498 0.0055580605 0.03934461 0.12017054 0.0026063605 0.033926405 0.0015507593 0.0055580605 0.0028326549 0.0027614983 0.0278612 0.002057713 0.07598582 0.0018574797 0.03934461 0.12017054 0.0026063605 0.033926405 0.0015507593 0.0055580605 0.0028326549 0.0027614983 0.0278612 0.002057713 0.07598582 0.0018574797 0.03934461 0.12017054 0.0026063605 0.033926405 0.0015507593 0.0055580605 0.0028326549 0.0027614983 0.0278612 0.002057713 0.07598582 0.0018574797 0.03934461 0.0055580605 0.12017054 3.0568447 4.179498 
700 3 1 "Schoenberg_RI" NA 0 0 1 0 NA 0 0 0 NA NA 65 96 4 600000 0 -1 23 0 0 0 0.71808255 0.28191736 0.99999994 1.0 0.055784646 4.163988 4.819619 0.015055536 0.0045929435 0.057672516 0.0073337806 0.029403426 0.0082802605 0.015055536 0.055784646 0.0024471509 0.046758693 0.01034447 0.0496156 0.03447635 0.0045929435 0.057672516 0.0073337806 0.029403426 0.0082802605 0.015055536 0.055784646 0.0024471509 0.046758693 0.01034447 0.0496156 0.03447635 0.0045929435 0.057672516 0.0073337806 0.029403426 0.0082802605 0.015055536 0.055784646 0.0024471509 0.046758693 0.01034447 0.0496156 0.03447635 0.0045929435 0.015055536 0.055784646 4.163988 4.819619 
700 3 2 "Schoenberg_RI" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 -1 23 24 1 0 0.5745407 0.42545927 1.0 1.0 0.0048410064 7.6904774 4.6201487 0.023703279 0.0025073567 0.03183352 0.005113491 0.02285493 0.014562865 0.023703279 0.114789225 0.0048410064 0.043500032 0.0076150363 0.032754537 0.0126200905 0.0025073567 0.03183352 0.005113491 0.02285493 0.014562865 0.023703279 0.114789225 0.0048410064 0.043500032 0.0076150363 0.032754537 0.0126200905 0.0025073567 0.03183352 0.005113491 0.02285493 0.014562865 0.023703279 0.114789225 0.0048410064 0.043500032 0.0076150363 0.032754537 0.0126200905 0.0025073567 0.023703279 0.0048410064 7.6904774 4.6201487 
700 3 3 "Schoenberg_RI" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 -1 23 48 2 0 0.7420854 0.25791457 1.0 1.0 0.018014545 5.794694 4.4511766 0.0039667585 0.002491405 0.01654344 0.0035682565 0.015996154 0.016318735 0.0039667585 0.11330913 0.028662905 0.079033025 0.022773342 0.018014545 0.009180636 0.002491405 0.01654344 0.0035682565 0.015996154 0.016318735 0.0039667585 0.11330913 0.028662905 0.079033025 0.022773342 0.018014545 0.009180636 0.002491405 0.01654344 0.0035682565 0.015996154 0.016318735 0.0039667585 0.11330913 0.028662905 0.079033025 0.022773342 0.018014545 0.009180636 0.002491405 0.0039667585 0.018014545 5.794694 4.4511766 
700 3 4 "Schoenberg_RI" NA 0 0 1 0 NA 0 24 1 NA NA 70 96 4 600000 0 -1 23 72 2 0 0.73752606 0.26247394 1.0 1.0 0.02653651 5.2358775 4.4553833 0.0011529197 0.0033621527 0.025124 9.960125e-4 0.057621434 8.545877e-4 0.0011529197 0.031927 0.077176735 0.06254194 0.0013016833 0.042849015 0.02653651 0.0033621527 0.025124 9.960125e-4 0.057621434 8.545877e-4 0.0011529197 0.031927 0.077176735 0.06254194 0.0013016833 0.042849015 0.02653651 0.0033621527 0.025124 9.960125e-4 0.057621434 8.545877e-4 0.0011529197 0.031927 0.077176735 0.06254194 0.0013016833 0.042849015 0.02653651 0.0033621527 0.0011529197 0.02653651 5.2358775 4.4553833 
700 3 5 "Schoenberg_RI" NA 0 0 1 0 NA 0 24 1 NA NA 64 96 4 600000 0 -1 23 96 2 0 0.8137599 0.1862401 1.0 1.0 0.0027607623 8.500718 4.277982 0.0027607623 0.0017629447 0.07401219 0.003750911 0.014426432 0.0035180817 0.0027607623 0.009519754 0.0017012657 0.040123116 0.017273916 0.10891186 0.05314391 0.0017629447 0.07401219 0.003750911 0.014426432 0.0035180817 0.0027607623 0.009519754 0.0017012657 0.040123116 0.017273916 0.10891186 0.05314391 0.0017629447 0.07401219 0.003750911 0.014426432 0.0035180817 0.0027607623 0.009519754 0.0017012657 0.040123116 0.017273916 0.10891186 0.05314391 0.0017629447 0.0027607623 0.0027607623 8.500718 4.277982 
700 3 6 "Schoenberg_RI" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 120 3 0 0.8658412 0.13415883 0.99999994 1.0 0.0018095373 9.110163 4.1118884 0.02167706 0.0014351498 0.024003452 0.0021189754 0.060144164 0.0018095373 0.02167706 0.13157356 0.00248785 0.061557796 0.0015986644 0.0067332275 0.0032641406 0.0014351498 0.024003452 0.0021189754 0.060144164 0.0018095373 0.02167706 0.13157356 0.00248785 0.061557796 0.0015986644 0.0067332275 0.0032641406 0.0014351498 0.024003452 0.0021189754 0.060144164 0.0018095373 0.02167706 0.13157356 0.00248785 0.061557796 0.0015986644 0.0067332275 0.0032641406 0.0014351498 0.02167706 0.0018095373 9.110163 4.1118884 
700 3 7 "Schoenberg_RI" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 -1 23 144 2 0 0.8612176 0.1387824 0.99999994 1.0 0.007247985 7.108205 4.317423 0.0061556892 0.0012463693 0.031814005 0.01863884 0.14788882 0.016034063 0.0061556892 0.040106498 7.8052876e-4 0.01964126 0.007247985 0.022591554 0.016668474 0.0012463693 0.031814005 0.01863884 0.14788882 0.016034063 0.0061556892 0.040106498 7.8052876e-4 0.01964126 0.007247985 0.022591554 0.016668474 0.0012463693 0.031814005 0.01863884 0.14788882 0.016034063 0.0061556892 0.040106498 7.8052876e-4 0.01964126 0.007247985 0.022591554 0.016668474 0.0012463693 0.0061556892 0.007247985 7.108205 4.317423 
