dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint cpitch.order.stm.cpint cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint cpitch.weight.stm.cpint cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.51 cpitch.53 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 2 8 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 88 96 4 600000 0 -1 23 168 1 0 0.5813628 0.4186372 1.0 1.0 0.02132792 5.551113 4.8724813 0.010445862 0.010445862 0.010445862 0.012409271 0.012409271 0.012409271 0.010445862 0.010445862 0.014170253 0.012409271 0.028091239 0.010445862 0.024875904 0.010445862 0.07346964 0.04837688 0.01578585 0.018705541 0.047191888 0.03492905 0.031060662 0.11743821 0.017290158 0.027050177 0.022555085 0.02132792 0.062156953 0.049067765 0.014170253 0.03492905 0.010445862 0.053075075 0.022555085 0.010445862 0.027050177 0.02132792 0.012409271 0.017290158 0.02132792 5.551113 4.8724813 
701 2 9 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 82 96 4 600000 0 -1 23 192 1 0 0.799097 0.20090297 1.0 1.0 0.023576977 5.4064775 4.2196827 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.0054421807 0.009668068 0.009668068 0.009668068 0.009668068 0.0054421807 0.0054421807 0.11084975 0.10869883 0.046580028 0.0054421807 0.03838545 0.0054421807 0.041161902 0.016994677 0.016994677 0.023576977 0.047201697 0.026990809 0.2132438 0.060963463 0.043892 0.032671787 0.0297204 0.023576977 5.4064775 4.2196827 
701 2 10 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 81 96 4 600000 0 -1 23 216 1 0 0.8052799 0.19472016 1.0 1.0 0.017103992 5.869523 4.385654 0.0062369234 0.0062369234 0.0062369234 0.0062369234 0.0062369234 0.0062369234 0.0062369234 0.0062369234 0.0062369234 0.009220754 0.009220754 0.009220754 0.009220754 0.0062369234 0.0062369234 0.011983285 0.009220754 0.03700212 0.0062369234 0.030745622 0.0062369234 0.032862674 0.014598298 0.014598298 0.030710999 0.033925425 0.020497363 0.04301134 0.043169703 0.017103992 0.11949283 0.18483075 0.11174536 0.051954407 0.017103992 0.020497363 0.0062369234 0.030745622 0.017103992 5.869523 4.385654 
701 2 11 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 90 96 4 600000 0 -1 23 240 1 0 0.72070813 0.27929187 1.0 1.0 0.10258482 3.2851107 4.68426 0.008008508 0.008008508 0.008008508 0.008008508 0.008008508 0.008008508 0.008008508 0.008008508 0.01103413 0.01103413 0.01103413 0.01103413 0.008008508 0.008008508 0.013763995 0.01103413 0.036743753 0.008008508 0.031203518 0.008008508 0.033089813 0.016297156 0.016297156 0.037657198 0.041083723 0.026517047 0.0419764 0.050771136 0.034105126 0.107354656 0.10258482 0.025249714 0.059785634 0.018685535 0.013763995 0.008008508 0.031203518 0.10258482 0.10258482 3.2851107 4.68426 
701 2 12 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 90 96 4 600000 0 -1 23 264 2 0 0.9545694 0.045430593 0.99999994 1.0 0.071172 3.8125465 3.1237042 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.0025024873 0.005528466 0.005528466 0.005528466 0.005528466 0.0025024873 0.0025024873 0.044539347 0.005528466 0.07380577 0.0025024873 0.13339967 0.0025024873 0.033688772 0.011368843 0.011368843 0.021662613 0.02470606 0.012392157 0.033737727 0.44796363 0.071172 0.071172 3.8125465 3.1237042 
701 2 13 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 89 96 4 600000 0 -1 23 288 2 0 0.77525294 0.224747 1.0 1.0 0.039472084 4.6630235 4.2452803 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.005611698 0.0106822485 0.0106822485 0.0106822485 0.062117655 0.005611698 0.005611698 0.015110099 0.0106822485 0.0523517 0.005611698 0.043272875 0.005611698 0.08865806 0.06765606 0.019184746 0.1686366 0.049710352 0.028384482 0.12741448 0.039472084 0.07745611 0.039472084 4.6630235 4.2452803 
701 3 1 "Schoenberg_R" NA 0 0 1 0 NA 0 0 0 NA NA 60 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.02631578 5.247928 5.247927 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 5.247928 5.247927 
701 3 2 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 0 23 24 0 0 0.649687 0.35031298 1.0 1.0 0.0289359 5.110996 5.0446806 0.017577283 0.049005568 0.025464438 0.035285972 0.025464438 0.060889494 0.04106935 0.0289359 0.051498484 0.038236704 0.038236704 0.051498484 0.0289359 0.021715581 0.021715581 0.0128222145 0.043800276 0.04106935 0.0128222145 0.051498484 0.0128222145 0.04106935 0.017577283 0.0289359 0.021715581 0.0128222145 0.0128222145 0.0128222145 0.0128222145 0.021715581 0.0128222145 0.0128222145 0.0128222145 0.017577283 0.0128222145 0.0128222145 0.0128222145 0.0128222145 0.0289359 5.110996 5.0446806 
701 3 3 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 0 23 48 1 0 0.5793655 0.42063448 1.0 1.0 0.088385105 3.500053 4.820756 0.014363294 0.020323632 0.025212422 0.020323632 0.04491018 0.031468075 0.08889404 0.03861717 0.08746894 0.029490897 0.03861717 0.02286318 0.0175288 0.082778946 0.010577528 0.033358872 0.088385105 0.010577528 0.03861717 0.010577528 0.031468075 0.014363294 0.02286318 0.0175288 0.010577528 0.010577528 0.010577528 0.010577528 0.0175288 0.010577528 0.010577528 0.010577528 0.014363294 0.010577528 0.010577528 0.010577528 0.010577528 0.010577528 0.088385105 3.500053 4.820756 
701 3 4 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 67 96 4 600000 0 0 23 72 2 0 0.91401774 0.08598224 1.0 1.0 0.012804029 6.2872586 3.4887786 0.0035168892 0.0035168892 0.044616237 0.056844793 0.0035168892 0.121272124 0.0035168892 0.017782098 0.0076295002 0.0076295002 0.010247593 0.011532219 0.0076295002 0.023827272 0.0140629755 0.012804029 0.4280805 0.012803489 0.012803489 0.019004872 0.00894759 0.006289503 0.006289503 0.0035168892 0.015311925 0.019131744 0.0035168892 0.019004872 0.0035168892 0.051320657 0.0049218475 0.00894759 0.006289503 0.0035168892 0.0035168892 0.0035168892 0.006289503 0.0035168892 0.012804029 6.2872586 3.4887786 
701 3 5 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 67 96 4 600000 0 0 23 96 1 1 0.32135448 0.6786455 1.0 1.0 0.017665466 5.8229246 3.834724 0.009452552 0.009452552 0.010768043 0.009452552 0.016811691 0.009452552 0.017249735 0.012689043 0.012689043 0.014137993 0.014757872 0.012689043 0.01915134 0.015855 0.085596964 0.017665466 0.029169766 0.015327164 0.017665466 0.013454704 0.011810993 0.028448049 0.009452552 0.016348124 0.4229189 0.009452552 0.017665466 0.009452552 0.015855 0.010768043 0.013454704 0.011810993 0.009452552 0.009452552 0.009452552 0.011810993 0.009452552 0.009452552 0.017665466 5.8229246 3.834724 
701 3 6 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 120 1 0 0.41042092 0.5895791 1.0 0.99999994 0.029411094 5.087496 4.834029 0.011802838 0.011802838 0.013939846 0.011802838 0.02462385 0.011802838 0.03300504 0.028061979 0.017191323 0.029411094 0.020848962 0.017191323 0.035619114 0.031282254 0.1168083 0.10488395 0.0306767 0.0306767 0.026232054 0.018527078 0.02735108 0.015686838 0.011802838 0.023760017 0.09234766 0.011802838 0.03355142 0.011802838 0.022848533 0.013939846 0.018527078 0.015686838 0.011802838 0.011802838 0.011802838 0.015686838 0.011802838 0.011802838 0.029411094 5.087496 4.834029 
701 3 7 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 144 2 0 0.90646654 0.09353349 1.0 1.0 0.38289776 1.3849689 3.6824815 0.006003605 0.0038661677 0.010069793 0.019281907 0.015873797 0.010069793 0.033983514 0.01961773 0.07137445 0.08530656 0.38289776 0.060410645 0.026900962 0.012035388 0.0080634765 0.0080634765 0.0038661677 0.021461409 0.026069181 0.0038661677 0.06860255 0.0038661677 0.01961773 0.006003605 0.012035388 0.0080634765 0.0038661677 0.0038661677 0.0038661677 0.0038661677 0.0080634765 0.0038661677 0.0038661677 0.0038661677 0.006003605 0.0038661677 0.0038661677 0.0038661677 0.38289776 1.3849689 3.6824815 
701 3 8 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 57 96 4 600000 0 0 23 168 2 0 0.93400586 0.0659941 1.0 0.99999994 0.012711812 6.297687 3.4773037 0.0029660042 0.018868286 0.061358113 0.007953205 0.061587296 0.012711812 0.007953205 0.027850855 0.05715438 0.014407232 0.02650989 0.01792019 0.01426755 0.10166374 0.009557283 0.006325753 0.006325753 0.0029660042 0.421825 0.019657902 0.0029660042 0.021890435 0.0029660042 0.01581137 0.0046677757 0.009557283 0.006325753 0.0029660042 0.0029660042 0.0029660042 0.0029660042 0.006325753 0.0029660042 0.0029660042 0.0029660042 0.0029660042 0.0029660042 0.0029660042 0.012711812 6.297687 3.4773037 
701 3 9 "Schoenberg_R" NA 0 0 1 0 NA 0 24 1 NA NA 65 96 4 600000 0 0 23 192 1 0 0.7510996 0.2489004 0.99999994 0.99999994 0.03553004 4.814817 4.485164 0.006524024 0.04365673 0.017957874 0.116255976 0.04365673 0.073271535 0.052660897 0.030076914 0.043229885 0.10901088 0.014515183 0.014515183 0.006524024 0.03553004 0.056972716 0.006524024 0.043229885 0.006524024 0.116255976 0.01077359 0.021193154 0.014515183 0.006524024 0.006524024 0.006524024 0.006524024 0.014515183 0.006524024 0.006524024 0.006524024 0.01077359 0.006524024 0.006524024 0.006524024 0.006524024 0.006524024 0.006524024 0.006524024 0.03553004 4.814817 4.485164 
