melody.id,note.id,melody.name,cpitch,information.content,entropy,Viewpoint,Time
1,12,"""Dallapiccola_quartina_1""",68,12.316196,3.7368388,cpintfref,Before
1,13,"""Dallapiccola_quartina_1""",59,5.457793,4.68971,cpintfref,Before
1,14,"""Dallapiccola_quartina_1""",40,5.669746,4.6534047,cpintfref,Before
2,1,"""Schoenberg_P""",70,6.825915,4.9195623,cpintfref,Before
2,2,"""Schoenberg_P""",64,7.557962,4.6262946,cpintfref,Before
2,3,"""Schoenberg_P""",66,6.942679,4.511642,cpintfref,Before
2,4,"""Schoenberg_P""",63,9.517524,3.6969244,cpintfref,Before
2,5,"""Schoenberg_P""",65,4.721814,4.4407516,cpintfref,Before
2,6,"""Schoenberg_P""",69,9.394254,4.069297,cpintfref,Before
2,7,"""Schoenberg_P""",62,5.6038704,4.3672957,cpintfref,Before
2,8,"""Schoenberg_P""",61,8.033405,4.672402,cpintfref,Before
2,9,"""Schoenberg_P""",67,9.003937,3.5815382,cpintfref,Before
2,10,"""Schoenberg_P""",68,6.6864476,4.7387447,cpintfref,Before
2,11,"""Schoenberg_P""",59,7.3657494,4.6391735,cpintfref,Before
2,12,"""Schoenberg_P""",59,6.013956,3.5582392,cpintfref,Before
2,13,"""Schoenberg_P""",60,3.0568447,4.179498,cpintfref,Before
3,1,"""Schoenberg_RI""",65,4.163988,4.819619,cpintfref,Before
3,2,"""Schoenberg_RI""",66,7.6904774,4.6201487,cpintfref,Before
3,3,"""Schoenberg_RI""",69,5.794694,4.4511766,cpintfref,Before
3,4,"""Schoenberg_RI""",70,5.2358775,4.4553833,cpintfref,Before
3,5,"""Schoenberg_RI""",64,8.5007180000000009,4.277982,cpintfref,Before
3,6,"""Schoenberg_RI""",75,9.110163,4.1118884,cpintfref,Before
3,7,"""Schoenberg_RI""",68,7.108205,4.317423,cpintfref,Before
3,8,"""Schoenberg_RI""",72,4.8919687,4.4254546,cpintfref,Before
3,9,"""Schoenberg_RI""",74,5.5257425,4.2214956,cpintfref,Before
3,10,"""Schoenberg_RI""",71,7.8993883,4.530574,cpintfref,Before
3,11,"""Schoenberg_RI""",71,7.768174,2.3893604,cpintfref,Before
3,12,"""Schoenberg_RI""",73,8.280802,4.3337502,cpintfref,Before
3,13,"""Schoenberg_RI""",67,8.982599,3.0380573,cpintfref,Before
3,14,"""Schoenberg_RI""",67,4.5458007,4.5188737,cpintfref,Before
4,1,"""Webern_Lieder_2""",79,4.143549,4.919608,cpintfref,Before
4,2,"""Webern_Lieder_2""",79,3.040355,4.599287,cpintfref,Before
4,3,"""Webern_Lieder_2""",70,7.4365406,4.56582,cpintfref,Before
4,4,"""Webern_Lieder_2""",59,6.325093,4.935688,cpintfref,Before
4,5,"""Webern_Lieder_2""",68,9.84867,3.5644615,cpintfref,Before
4,6,"""Webern_Lieder_2""",68,3.9801996,4.041489,cpintfref,Before
4,7,"""Webern_Lieder_2""",73,6.901131,4.6812887,cpintfref,Before
4,8,"""Webern_Lieder_2""",81,6.3697577,3.6695726,cpintfref,Before
4,9,"""Webern_Lieder_2""",72,6.6217866,4.286515,cpintfref,Before
4,10,"""Webern_Lieder_2""",63,8.348474,4.6302385,cpintfref,Before
4,11,"""Webern_Lieder_2""",76,5.877498,4.9881144,cpintfref,Before
4,12,"""Webern_Lieder_2""",62,3.7462864,4.678388,cpintfref,Before
5,1,"""Webern_Lieder_3""",72,4.189466,4.9196,cpintfref,Before
5,2,"""Webern_Lieder_3""",63,7.011346,4.6526356,cpintfref,Before
5,3,"""Webern_Lieder_3""",76,6.061125,4.891198,cpintfref,Before
5,4,"""Webern_Lieder_3""",73,9.24933,4.509281,cpintfref,Before
5,5,"""Webern_Lieder_3""",78,9.865902,4.4308014,cpintfref,Before
5,6,"""Webern_Lieder_3""",74,5.526468,4.3137903,cpintfref,Before
5,7,"""Webern_Lieder_3""",65,6.6955485,4.570237,cpintfref,Before
5,8,"""Webern_Lieder_3""",68,8.215459,4.6039557,cpintfref,Before
5,9,"""Webern_Lieder_3""",69,5.534766,4.7447023,cpintfref,Before
5,10,"""Webern_Lieder_3""",67,3.5330262,4.560137,cpintfref,Before
5,11,"""Webern_Lieder_3""",70,9.223875,4.470602,cpintfref,Before
6,1,"""Webern_Lieder_6""",78,7.242885,4.9194474,cpintfref,Before
6,2,"""Webern_Lieder_6""",75,7.9254365,4.455398,cpintfref,Before
6,3,"""Webern_Lieder_6""",64,7.6660976,3.9515111,cpintfref,Before
6,4,"""Webern_Lieder_6""",67,4.4534993,4.5920196,cpintfref,Before
6,5,"""Webern_Lieder_6""",78,7.151544,4.497126,cpintfref,Before
6,6,"""Webern_Lieder_6""",65,5.53503,4.0933475,cpintfref,Before
6,7,"""Webern_Lieder_6""",62,5.523528,4.2700906,cpintfref,Before
6,8,"""Webern_Lieder_6""",76,4.4522886,4.609866,cpintfref,Before
